                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.95444,                 1.1305,                 1.2549,                0.79184,                0.73478,                0.81021,                0.59731,                0.94457,                0.86193,                 1.1981,               0.006634,               0.006634,               0.006634
                     36,                 0.9536,                 1.1252,                 1.2547,                0.80821,                0.72789,                0.81398,                0.60088,                0.94098,                0.85096,                 1.1946,               0.006535,               0.006535,               0.006535
                     37,                0.94607,                 1.1091,                 1.2479,                0.80019,                0.73198,                 0.8149,                0.60195,                0.93804,                0.84955,                 1.1909,               0.006436,               0.006436,               0.006436
                     38,                0.95086,                 1.1154,                 1.2513,                0.80541,                0.72878,                0.81267,                0.60116,                0.93489,                 0.8496,                 1.1919,               0.006337,               0.006337,               0.006337
                     39,                 0.9419,                 1.1044,                 1.2477,                0.80558,                0.72866,                0.81496,                0.60355,                0.93159,                0.84459,                 1.1864,               0.006238,               0.006238,               0.006238
                     40,                0.93251,                 1.0938,                  1.242,                0.80546,                0.73424,                0.81589,                0.60601,                0.93255,                0.84321,                 1.1871,               0.006139,               0.006139,               0.006139
                     41,                0.93738,                 1.0963,                 1.2434,                0.80765,                 0.7364,                0.81859,                0.60825,                0.93085,                0.83698,                 1.1865,                0.00604,                0.00604,                0.00604
                     42,                0.93691,                 1.0852,                 1.2415,                 0.8177,                0.73154,                0.81819,                0.60739,                 0.9309,                0.83446,                 1.1863,               0.005941,               0.005941,               0.005941
                     43,                 0.9343,                 1.0794,                 1.2389,                0.80354,                0.74175,                0.81908,                0.60835,                0.93026,                0.83141,                  1.185,               0.005842,               0.005842,               0.005842
                     44,                 0.9274,                 1.0751,                 1.2357,                0.80551,                0.73887,                0.81945,                0.60931,                0.92799,                 0.8308,                  1.184,               0.005743,               0.005743,               0.005743
                     45,                0.92081,                 1.0628,                 1.2333,                0.81153,                0.73433,                0.82037,                0.61077,                0.92628,                0.82705,                 1.1822,               0.005644,               0.005644,               0.005644
                     46,                0.92033,                 1.0615,                 1.2313,                0.80833,                0.74098,                0.81999,                0.61089,                0.92557,                0.82454,                  1.181,               0.005545,               0.005545,               0.005545
                     47,                0.92392,                 1.0552,                 1.2317,                0.80956,                0.73986,                0.82049,                 0.6107,                0.92392,                0.82133,                   1.18,               0.005446,               0.005446,               0.005446
                     48,                0.92001,                 1.0501,                 1.2324,                0.80686,                0.74319,                0.82089,                0.61186,                 0.9231,                0.81892,                 1.1793,               0.005347,               0.005347,               0.005347
                     49,                0.91743,                 1.0444,                 1.2273,                  0.811,                0.73853,                  0.821,                0.61302,                0.92243,                0.81783,                 1.1794,               0.005248,               0.005248,               0.005248
                     50,                0.91577,                 1.0446,                 1.2296,                0.80603,                 0.7418,                0.82194,                0.61387,                0.92197,                0.81626,                  1.179,               0.005149,               0.005149,               0.005149
                     51,                0.91156,                  1.031,                 1.2242,                0.80163,                0.75382,                0.82327,                0.61401,                0.92025,                0.81258,                  1.178,                0.00505,                0.00505,                0.00505
                     52,                0.90915,                 1.0306,                 1.2235,                0.81086,                0.74788,                0.82391,                0.61557,                 0.9186,                0.81091,                 1.1773,               0.004951,               0.004951,               0.004951
                     53,                0.90035,                 1.0122,                 1.2162,                0.80381,                0.75319,                0.82468,                0.61652,                0.91812,                0.80917,                 1.1771,               0.004852,               0.004852,               0.004852
                     54,                0.90415,                 1.0116,                 1.2166,                 0.8024,                0.75732,                0.82554,                0.61683,                0.91753,                 0.8081,                 1.1757,               0.004753,               0.004753,               0.004753
                     55,                0.90057,                  1.006,                 1.2149,                  0.809,                0.75236,                0.82618,                0.61764,                0.91721,                 0.8066,                 1.1748,               0.004654,               0.004654,               0.004654
                     56,                0.90257,                  1.005,                  1.214,                0.81265,                0.75094,                0.82698,                 0.6183,                0.91589,                0.80503,                 1.1738,               0.004555,               0.004555,               0.004555
                     57,                0.88974,                0.99663,                 1.2107,                0.81478,                0.74888,                0.82834,                 0.6189,                0.91485,                0.80367,                 1.1738,               0.004456,               0.004456,               0.004456
                     58,                0.88887,                 0.9834,                 1.2082,                0.81084,                0.75099,                0.82879,                0.61942,                0.91403,                0.80242,                 1.1737,               0.004357,               0.004357,               0.004357
                     59,                0.88308,                0.98088,                 1.2044,                 0.8111,                0.75065,                0.82874,                0.62032,                0.91328,                 0.8008,                 1.1731,               0.004258,               0.004258,               0.004258
                     60,                0.88502,                0.97442,                 1.2017,                0.80983,                 0.7516,                0.82823,                0.62074,                0.91221,                0.80005,                 1.1723,               0.004159,               0.004159,               0.004159
                     61,                0.88418,                0.97375,                 1.2026,                0.81422,                0.74808,                0.82905,                0.62128,                0.91097,                0.79895,                 1.1711,                0.00406,                0.00406,                0.00406
